Provincia.string()	Municipio.string()	Dirección.string()	Margen.string()	Toma de datos.string()	Precio.double()	Rótulo.string()	Tipo venta.string()	Rem.string()	Horario.string()
SANTA CRUZ DE TENERIFE	TEJINA                   	CARRETERA TEJINA BAJAMAR KM. 9,5	N	19/12/2016 13:06	0.878	TEJINA	P	dm	L-V: 06:00-22:00; S-D: 07:00-22:00
SANTA CRUZ DE TENERIFE	TEJINA                   	CALLE FELIPE CASTILLO, 3	N	20/12/2016 12:30	0.878	DISA TEJINA	P	OM	L-D: 07:00-22:00
SANTA CRUZ DE TENERIFE	BAJAMAR                  	AVENIDA BAJAMAR, 103	I	20/12/2016 12:30	0.878	DISA BAJAMAR	P	OM	L-D: 07:00-22:00
SANTA CRUZ DE TENERIFE	REALEJOS (LOS)           	CARRETERA CARRETERA DEL NORTE KM. 43,60	D	19/12/2016 13:50	0.878	ESTACION DE SERVICIOS EL MIRADOR	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	AEROPUERTO REINA SOFIA (SANTA CRUZ DE TENERIFE)	ACCESO ACCESO AEROPUERTO TENERIFE SUR, 1	N	20/12/2016 00:00	0.879	DISA AEROPUERTO TFS	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	LA LAGUNA	AVENIDA PASO EL (LOS MAJUELOS), 108	N	19/12/2016 17:02	0.879	CEPSA LOS ANDENES	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	SAN JUAN DE LA RAMBLA    	CARRETERA TF-5 KM. 46,3	I	21/12/2016 00:00	0.879	REPSOL	P	OM	L-D: 05:00-22:00
SANTA CRUZ DE TENERIFE	OROTAVA (LA)             	CARRETERA LAS CAÑADAS KM. 5	D	13/12/2016 23:48	0.879	CEPSA LA CAÑADA	P	dm	L-D: 06:00-23:59
SANTA CRUZ DE TENERIFE	OROTAVA (LA)             	PLAZA LA PAZ, S/N	N	20/12/2016 00:00	0.879	DISA	P	dm	L-D: 24H
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	PLAZA HERMANOS MILLARES, S/N	N	20/12/2016 00:00	0.879	ESCALERITAS	P	OM	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	ARONA                    	CRTRA. VALLE SAN LORENZO - LAS GALLETAS km 11,1	D	21/12/2016 00:00	0.879	TGAS LAS GALLETAS	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	SANTA CRUZ DE TENERIFE   	CARRETERA LOS MAJUELOS - SOBRADILLO KM. S/N	N	19/12/2016 12:00	0.879	TGAS LOS MAJUELOS	P	dm	L-S: 06:30-22:30; D: 07:00-22:00
SANTA CRUZ DE TENERIFE	COSTA DEL SILENCIO       	CARRERA GENERAL LAS GALLETAS Nº2 KM4, 2	N	21/12/2016 10:18	0.879	SHELL	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	SAN CRISTOBAL            	AVENIDA REPUBLICA ARGENTINA, 86	D	19/12/2016 13:12	0.879	E.S. LAS CANTERAS S.L.	P	dm	L-S: 7:00-22:00
